trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Prot_Res_With_IBM_For_GWAS,0.004188,-0.003314,-0.002491,0.007073,0.002349, 0.188725, 0.196531,CHG_landrace_maize,S9,Protein,0.007805
Prot_Res_With_IBM_For_GWAS,-0.019196,-0.024499,-0.029629,-0.022533,3.203376,-0.419345, 2.688174,CHG_landrace_maize,S88,Protein,3.107519
Prot_Res_With_IBM_For_GWAS,-0.027588,-0.01829,-0.017592,-0.003674,-0.004278, 0.361961, 0.290538,CHG_landrace_maize,S86,Protein,-0.071422
Prot_Res_With_IBM_For_GWAS,-0.008416,-0.001175,0.010949,-0.01374,-0.017199, 0.281891, 0.252310,CHG_landrace_maize,S97,Protein,-0.029581
Prot_Res_With_IBM_For_GWAS,0.003507,0.001852,-0.002255,-0.009969,-0.407755, 0.283467,-0.131152,CHG_landrace_maize,S90,Protein,-0.41462
Prot_Res_With_IBM_For_GWAS,0.006744,-0.001691,0.008831,-0.006324,-0.002169, 0.178746, 0.184137,CHG_landrace_maize,S89,Protein,0.005391
Prot_Res_With_IBM_For_GWAS,-0.002354,0.008966,0.0044,9e-06,0.004058, 0.174506, 0.189584,CHG_landrace_maize,S87,Protein,0.015079
Prot_Res_With_IBM_For_GWAS,-0.031375,-0.033204,-0.007253,0.089876,-0.112689, 0.094172,-0.000473,CHG_landrace_maize,S98,Protein,-0.094645
residuals_distancebased_for_slbv2,-0.032829,-0.021014,-0.019924,-0.016058,-0.029035, 0.740191, 0.621331,CHG_landrace_maize,S17,Southern leaf blight,-0.11886
residuals_distancebased_for_slbv2,0.003408,-0.05561,-0.004904,-0.00747,-0.019292, 0.832498, 0.748630,CHG_landrace_maize,S59,Southern leaf blight,-0.083868
residuals_distancebased_for_slbv2,-0.005024,-0.008647,-0.000522,0.002754,-0.041866, 0.803443, 0.750139,CHG_landrace_maize,S58,Southern leaf blight,-0.053305
residuals_distancebased_for_slbv2,-0.006337,0.002004,0.010031,-0.068621,-0.058382, 0.613972, 0.492668,CHG_landrace_maize,S44,Southern leaf blight,-0.121305
residuals_distancebased_for_slbv2,0.00063,-0.007074,-0.015831,-0.029382,-0.069096, 0.930656, 0.809903,CHG_landrace_maize,S18,Southern leaf blight,-0.120753
residuals_distancebased_for_slbv2,-0.011168,0.007986,-0.001662,-0.017812,-0.011779, 0.811683, 0.777248,CHG_landrace_maize,S6,Southern leaf blight,-0.034435
residuals_distancebased_for_slbv2,0.00845,-0.000995,-0.032994,-0.017373,-0.080062, 0.861063, 0.738089,CHG_landrace_maize,S34,Southern leaf blight,-0.122974
residuals_distancebased_for_slbv2,0.017826,-0.01996,-0.011388,-0.064208,-0.068295, 0.843237, 0.697212,CHG_landrace_maize,S45,Southern leaf blight,-0.146025
residuals_distancebased_for_slbv2,-0.020849,0.00348,0.000716,-0.01901,-0.068128, 0.800466, 0.696676,CHG_landrace_maize,S19,Southern leaf blight,-0.103791
residuals_distancebased_for_slbv2,0.005374,0.001162,0.002386,-0.003103,-0.037846, 0.766033, 0.734005,CHG_landrace_maize,S60,Southern leaf blight,-0.032027
residuals_distancebased_for_slbv2,0.006987,-0.001168,-7e-06,-0.018517,-0.066748, 0.848398, 0.768944,CHG_landrace_maize,S71,Southern leaf blight,-0.079453
residuals_distancebased_for_slbv2,-0.00332,0.003078,0.000475,-0.004811,-0.004273, 0.765828, 0.756977,CHG_landrace_maize,S33,Southern leaf blight,-0.008851
residuals_distancebased_for_slbv2,0.009907,0.003836,-0.007317,-0.019379,-0.092686, 0.797877, 0.692238,CHG_landrace_maize,S2,Southern leaf blight,-0.105639
residuals_distancebased_for_slbv2,-0.173964,0.059957,-0.024511,-0.029162,-0.016035, 0.490033, 0.306318,CHG_landrace_maize,S30,Southern leaf blight,-0.183715
residuals_distancebased_for_slbv2,-0.002838,-0.000223,0.000646,-0.002214,0.001513, 0.758807, 0.755691,CHG_landrace_maize,S35,Southern leaf blight,-0.003116
residuals_distancebased_for_slbv2,0.001294,0.005787,0.004081,-0.021371,-0.007642, 0.770396, 0.752546,CHG_landrace_maize,S46,Southern leaf blight,-0.017851
residuals_distancebased_for_slbv2,-0.000751,-0.007203,-0.011797,-0.033337,-0.001209, 0.787168, 0.732870,CHG_landrace_maize,S32,Southern leaf blight,-0.054297
residuals_distancebased_for_slbv2,-0.026922,-0.018317,-0.004162,-0.016543,-0.095009, 0.808039, 0.647085,CHG_landrace_maize,S61,Southern leaf blight,-0.160953
residuals_distancebased_for_slbv2,-0.042194,-0.001083,-0.004208,0.017149,-0.004361, 0.829301, 0.794603,CHG_landrace_maize,S72,Southern leaf blight,-0.034697
residuals_distancebased_for_slbv2,-0.032686,-0.002265,-0.10607,-0.021746,-0.029984, 0.849474, 0.656723,CHG_landrace_maize,S77,Southern leaf blight,-0.192751
residuals_distancebased_for_slbv2,-0.015497,-0.010126,-0.021886,-0.02934,-0.045132, 0.821737, 0.699755,CHG_landrace_maize,S20,Southern leaf blight,-0.121981
residuals_distancebased_for_slbv2,-0.024408,-0.001324,-0.035253,-0.003144,-0.016593, 0.789284, 0.708562,CHG_landrace_maize,S31,Southern leaf blight,-0.080722
residuals_distancebased_for_slbv2,-0.012975,-0.01416,-0.00551,-0.013243,-0.010105, 0.642017, 0.586023,CHG_landrace_maize,S36,Southern leaf blight,-0.055993
residuals_distancebased_for_slbv2,-0.004734,-0.000939,-0.000883,0.002434,-0.000489, 0.759648, 0.755037,CHG_landrace_maize,S47,Southern leaf blight,-0.004611
