trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Chlb_Res_With_IBM_For_GWAS,-0.097207,0.015711,-0.0792,0.100065,0.000211, 0.046014,-0.014405,CHG_teosinte_landrace,S29,Chlorophyll B,-0.06042
Chlb_Res_With_IBM_For_GWAS,-0.029328,-0.054235,-0.008067,0.006832,0.00044, 0.016302,-0.068058,CHG_teosinte_landrace,S32,Chlorophyll B,-0.084358
Chlb_Res_With_IBM_For_GWAS,-0.093832,-0.024974,-0.005159,-0.028189,0.064712, 0.136468, 0.049028,CHG_teosinte_landrace,S34,Chlorophyll B,-0.087442
Chlb_Res_With_IBM_For_GWAS,0.063346,-0.025382,0.016053,-0.002833,-0.003344,-0.072500,-0.024659,CHG_teosinte_landrace,S38,Chlorophyll B,0.04784
Chlb_Res_With_IBM_For_GWAS,-0.005454,-0.001148,0.00665,0.009638,-0.010539, 0.011276, 0.010423,CHG_teosinte_landrace,S4,Chlorophyll B,-0.000853
Chlb_Res_With_IBM_For_GWAS,-0.04037,0.120385,-0.036194,-0.013463,-0.033743,-0.117889,-0.121275,CHG_teosinte_landrace,S22,Chlorophyll B,-0.003385
Chlb_Res_With_IBM_For_GWAS,0.000345,-0.003145,0.002416,0.003253,-0.004351, 0.014182, 0.012701,CHG_teosinte_landrace,S24,Chlorophyll B,-0.001482
Chlb_Res_With_IBM_For_GWAS,0.011831,0.000288,0.001212,0.004276,-0.002666,-0.002156, 0.012784,CHG_teosinte_landrace,S3,Chlorophyll B,0.014941
Chlb_Res_With_IBM_For_GWAS,0.001427,-0.000347,0.002018,-0.003774,-0.002272, 0.014714, 0.011766,CHG_teosinte_landrace,S1,Chlorophyll B,-0.002948
Chlb_Res_With_IBM_For_GWAS,-0.074965,-0.056759,-0.054248,-0.00062,-0.062096, 0.414737, 0.166049,CHG_teosinte_landrace,S56,Chlorophyll B,-0.248688
Chlb_Res_With_IBM_For_GWAS,0.001626,0.005911,-0.003349,-0.002831,0.000607, 0.012612, 0.014576,CHG_teosinte_landrace,S14,Chlorophyll B,0.001964
Chlb_Res_With_IBM_For_GWAS,-0.046262,-0.024177,-0.034785,-0.055488,-0.007853, 0.283938, 0.115371,CHG_teosinte_landrace,S40,Chlorophyll B,-0.168565
Chlb_Res_With_IBM_For_GWAS,-0.025957,-0.007683,0.015717,-0.008658,0.000249, 0.018901,-0.007431,CHG_teosinte_landrace,S88,Chlorophyll B,-0.026332
Chlb_Res_With_IBM_For_GWAS,-0.040685,-0.015668,0.011853,-0.025676,-0.008098, 0.028904,-0.049370,CHG_teosinte_landrace,S46,Chlorophyll B,-0.078274
Chlb_Res_With_IBM_For_GWAS,-0.047417,-0.003529,-0.013076,-0.009597,-0.074505, 0.163644, 0.015521,CHG_teosinte_landrace,S72,Chlorophyll B,-0.148124
Chlb_Res_With_IBM_For_GWAS,-0.011321,0.125483,-0.036074,-0.015258,-0.01768, 0.097112, 0.142263,CHG_teosinte_landrace,S10,Chlorophyll B,0.04515
Chlb_Res_With_IBM_For_GWAS,0.164733,0.024102,0.00668,0.026624,-0.027438,-0.125454, 0.069248,CHG_teosinte_landrace,S57,Chlorophyll B,0.194701
Chlb_Res_With_IBM_For_GWAS,0.000412,0.002051,-0.001749,0.00288,0.004577, 0.006069, 0.014240,CHG_teosinte_landrace,S15,Chlorophyll B,0.008171
Chlb_Res_With_IBM_For_GWAS,0.033951,-0.032946,-0.004876,-0.020055,-0.018736,-0.051816,-0.094477,CHG_teosinte_landrace,S41,Chlorophyll B,-0.042662
Chlb_Res_With_IBM_For_GWAS,-0.091719,-0.012036,-0.015362,-0.037073,0.085906, 0.169725, 0.099441,CHG_teosinte_landrace,S89,Chlorophyll B,-0.070284
Chlb_Res_With_IBM_For_GWAS,-0.000737,0.003172,-0.001231,0.001238,0.002765, 0.008271, 0.013478,CHG_teosinte_landrace,S47,Chlorophyll B,0.005207
