Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
GRMZM2G100380	Zm00001d013327	11	18	96	41	68	58
GRMZM2G100381	Zm00001d030580	3	1	34	6	NA	NA
GRMZM2G100391	Zm00001d013325	172	241	57	63	507	483
GRMZM2G100402	Zm00001d012017	2138	1869	3455	4137	3949	3251
GRMZM2G100403	Zm00001d018957	5575	4261	6274	7630	4647	4120
GRMZM2G100419	Zm00001d012921	1567	1715	1812	1208	2140	1578
GRMZM2G100423	Zm00001d052969	0	4	31	53	0	215
GRMZM2G100431	Zm00001d048105	2444	2495	1797	1980	2186	2546
GRMZM2G100448	Zm00001d033388	1796	1764	1431	1488	1633	1473
GRMZM2G100452	Zm00001d029341	2	4	13	0	NA	NA
GRMZM2G100462	Zm00001d036565	668	285	1452	633	1120	827
GRMZM2G100467	Zm00001d018383	2293	3488	2706	6166	1935	2058
GRMZM2G100473	Zm00001d048104	2310	2230	323	754	154	210
GRMZM2G100475	Zm00001d005591	9	5	4	4	11	7
GRMZM2G100478	Zm00001d013323	391	295	27	129	40	78
GRMZM2G100484	Zm00001d005590	7448	8616	2176	2623	2653	1466
GRMZM2G100492	Zm00001d049816	2	0	9	2	18	12
GRMZM2G100497	Zm00001d029342	1141	1071	645	587	871	740
GRMZM2G100505	Zm00001d037911	549	393	217	214	253	227
GRMZM2G100511	Zm00001d048102	2482	2946	5331	5876	5710	6227
GRMZM2G100518	Zm00001d036912	21	41	18	17	10	20
GRMZM2G100524	Zm00001d012917	9	1	8	14	16	13
GRMZM2G100543	Zm00001d051440	84	95	18	2	2	3
GRMZM2G100579	Zm00001d035254	2050	1735	2466	1944	1606	1497
GRMZM2G100583	Zm00001d049860	10	5	57	31	130	120
GRMZM2G100620	Zm00001d028529	394	411	257	360	272	315
GRMZM2G100629	Zm00001d028362	212	184	92	143	174	294
GRMZM2G100639	Zm00001d038467	7351	7533	1587	3635	1847	2028
GRMZM2G100641	Zm00001d038321	2644	1669	1252	902	1047	581
GRMZM2G100650	Zm00001d033718	22	74	2	38	95	136
GRMZM2G100652	Zm00001d018595	723	687	1125	1207	639	705
GRMZM2G100707	Zm00001d027701	2279	2274	2109	1776	2073	1817
GRMZM2G100714	Zm00001d028363	2034	2608	7656	4481	2829	2392
GRMZM2G100716	Zm00001d051320	738	716	1194	1056	473	361
GRMZM2G100727	Zm00001d038320	0	2	3	0	3	2
GRMZM2G100732	Zm00001d002510	3326	2597	820	1216	886	677
GRMZM2G100747	Zm00001d004437	29	36	35	18	67	44
GRMZM2G100750	Zm00001d048281	NA	NA	1	0	2	0
GRMZM2G100758	Zm00001d021874	63	67	334	104	154	136
GRMZM2G100794	Zm00001d004651	196	219	165	179	311	305
GRMZM2G100809	Zm00001d010703	827	904	1304	1095	1265	1271
GRMZM2G100819	Zm00001d036597	164	81	138	96	223	101
GRMZM2G100858	Zm00001d036598	1621	1328	2067	1501	1991	1332
GRMZM2G100864	Zm00001d036801	7817	7431	3892	4754	2081	1684
GRMZM2G100872	Zm00001d003258	843	856	524	854	629	862
GRMZM2G100873	Zm00001d045163	0	28	0	3	0	16
GRMZM2G100881	Zm00001d039871	521	633	320	448	605	591
GRMZM2G100889	Zm00001d039870	919	830	339	420	988	704
GRMZM2G100898	Zm00001d039867	920	998	156	412	258	437
GRMZM2G100911	Zm00001d044276	21	60	51	52	69	26
GRMZM2G100913	Zm00001d052709	2017	1819	1033	844	1751	1451
GRMZM2G100920	Zm00001d034838	237	165	718	316	49	64
GRMZM2G100946	Zm00001d038134	2762	2564	1333	1371	1797	1346
GRMZM2G100955	Zm00001d036520	816	733	618	774	614	640
GRMZM2G100976	Zm00001d036521	3	7	140	98	6	8
GRMZM2G100988	Zm00001d047913	7	7	57	32	130	104
GRMZM2G101000	Zm00001d032253	4	67	28	76	8	40
GRMZM2G101001	Zm00001d047912	4673	3355	2177	2491	2122	1603
GRMZM2G101004	Zm00001d046492	990	678	2483	1567	2610	2598
GRMZM2G101020	Zm00001d041882	528	422	997	929	831	756
GRMZM2G101024	Zm00001d019002	31	30	15	20	28	70
GRMZM2G101036	Zm00001d019001	580	350	124	233	256	273
GRMZM2G101042	Zm00001d009495	2369	2089	4067	3668	2727	2329
GRMZM2G101053	Zm00001d011873	435	360	375	246	433	379
GRMZM2G101058	Zm00001d047081	189	983	724	1181	158	309
GRMZM2G101060	Zm00001d019000	281	106	105	72	128	57
GRMZM2G101062	Zm00001d047911	485	260	200	231	119	203
GRMZM2G101080	Zm00001d011874	90	35	37	24	41	49
GRMZM2G101105	Zm00001d032362	304	284	523	403	421	300
GRMZM2G101116	Zm00001d032363	7	4	12	6	8	3
GRMZM2G101117	Zm00001d019985	25	7	18	22	355	245
GRMZM2G101125	Zm00001d052063	174	156	120	87	103	75
GRMZM2G101130	Zm00001d032366	16	19	194	56	30	34
GRMZM2G101149	Zm00001d009514	0	7	0	1	0	7
GRMZM2G101179	Zm00001d026495	161	233	115	225	118	140
GRMZM2G101181	Zm00001d002742	599	493	292	279	466	278
GRMZM2G101217	Zm00001d042393	1281	1327	672	1136	795	966
GRMZM2G101221	Zm00001d041827	NA	NA	16	7	4	7
GRMZM2G101245	Zm00001d032069	2	521	59	6	50	71
GRMZM2G101264	Zm00001d026492	398	540	197	228	228	206
GRMZM2G101274	Zm00001d017100	555	642	364	431	595	585
GRMZM2G101282	Zm00001d038753	13	23	11	30	50	96
GRMZM2G101287	Zm00001d017777	819	945	779	520	1157	962
GRMZM2G101290	Zm00001d002741	0	9	55	48	27	61
GRMZM2G101350	Zm00001d017778	40	33	188	67	1009	387
GRMZM2G101383	Zm00001d002676	962	941	714	910	922	858
GRMZM2G101390	Zm00001d007200	3078	1195	668	604	483	171
GRMZM2G101393	Zm00001d025803	23	41	178	53	552	213
GRMZM2G101405	Zm00001d043663	0	6	NA	NA	NA	NA
